step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.04206897,0.20510721206665042,0.22828004188992312,20.381347543,0.756957286005,-1.55227803946,[  0   0 100   0]
2,training,0.4474853,0.6689437627792358,0.22820256156514737,20.3812777551,0.756888261112,-1.55262530044,[  0   0 100   0]
3,training,0.034542996,0.1838744580745697,0.22785868704129167,20.3814230998,0.752945454568,-1.5318805929,[  0   0 100   0]
4,training,0,0.033924274146556854,0.226820027234656,20.3828299805,0.735451310704,-1.46456853905,[  0   0 100   0]
5,training,0.10234313,0.15439046174287796,0.22695053319392175,20.3880057116,0.696200241013,-1.47522904081,[100   0   0   0]
6,training,0.11493922,0.19005058333277702,0.020374503720519837,20.3896529578,0.678518471782,-1.47962413005,[100   0   0   0]
7,training,0.014358534,0.06482803262770176,0.021287512588637904,20.3930794182,0.638592177135,-1.48586261782,[100   0   0   0]
8,training,0.066809416,0.18703197222203016,0.021051905227077748,20.4023076911,0.584292965528,-1.46243848259,[100   0   0   0]
9,training,0,0.03484817594289781,0.020959173730831972,20.4044089111,0.564440979943,-1.4642910856,[100   0   0   0]
10,training,0,0.03879414498806,0.023926513377541314,20.4103092674,0.511712110066,-1.45828585817,[100   0   0   0]
11,training,0.042829946,0.20225591957569125,0.0244214109119962,20.4122466136,0.493175115583,-1.47328640972,[100   0   0   0]
12,training,0.034119,0.13282353058457375,0.024541014135311724,20.41581623,0.453263774554,-1.48347002275,[100   0   0   0]
13,training,0.036451697,0.07128883898258209,0.026429833210288446,20.4192518419,0.413675147719,-1.48942044041,[100   0   0   0]
14,training,0,0.011098891496658325,0.03059924321350228,20.4221048519,0.373713221092,-1.51203481776,[100   0   0   0]
15,training,0,0.034113675355911255,0.0318833455566558,20.4239592648,0.333585062558,-1.53645630774,[100   0   0   0]
16,training,0,0.04664763808250427,0.027437697536574355,20.4248608785,0.29349302752,-1.56079021839,[100   0   0   0]
17,training,0.033456136,0.16901937435613948,0.03125631498402939,20.4209456612,0.254090710804,-1.58829608525,[100   0   0   0]
18,training,0.014830284,0.08167658001184466,0.011152460841916694,20.4241054337,0.218426481741,-1.60905466887,[100   0   0   0]
19,training,0.0057114568,0.07258811593055725,0.010570620011851632,20.4217925925,0.179381012979,-1.62344528298,[100   0   0   0]
20,training,0,0.03260435163974762,0.008693496830068316,20.4195340273,0.142392892797,-1.63945550915,[100   0   0   0]
21,training,0,0.03646491467952728,0.013505209367359657,20.4159338343,0.102224095595,-1.68169758808,[100   0   0   0]
22,training,0.031489156,0.20891352742910385,0.011527232258642203,20.4077306936,0.0424668088015,-1.72219614516,[100   0   0   0]
23,training,0.0029113425,0.16453807428479195,0.01736173978907474,20.4017977871,0.00302794875056,-1.71402486668,[100   0   0   0]
24,training,0,0.03628608584403992,0.00424768195529518,20.3988771348,-0.0172480463036,-1.71916137506,[100   0   0   0]
25,training,0.10083154,0.38390541076660156,0.014496189226061409,20.3921464255,-0.057051985719,-1.74408555589,[100   0   0   0]
26,training,0.052909113,0.12471790052950382,0.020594538597349856,20.3819193481,-0.116145772641,-1.72436230983,[100   0   0   0]
27,training,0.020226885,0.28224668838083744,0.033176140548869124,20.3760040369,-0.154244477704,-1.7227491408,[100   0   0   0]
28,training,0.029562393,0.13484275341033936,0.04456195534100422,20.3694680897,-0.191951510039,-1.76661545824,[100   0   0   0]
29,training,0.027592424,0.15791928954422474,0.054506401066183686,20.3653876626,-0.211672809987,-1.77527733723,[100   0   0   0]
30,training,0.017574158,0.19087508134543896,0.06739931762117671,20.358071959,-0.249185555813,-1.76050845822,[100   0   0   0]
31,training,0.027728837,0.10492411069571972,0.07348442713153361,20.3459790639,-0.306544936667,-1.78232608221,[100   0   0   0]
32,training,0.040511686,0.25285710394382477,0.07670928995013984,20.3397300669,-0.344168913313,-1.78970191446,[100   0   0   0]
33,training,0.013861837,0.06791187450289728,0.07979192284903332,20.3311024223,-0.38144993621,-1.82087642815,[100   0   0   0]
34,training,0.023772743,0.0964137427508831,0.0747358271475544,20.3208478448,-0.419663857723,-1.83553099253,[100   0   0   0]
35,training,0.015829844,0.21651150286197662,0.06441148113769993,20.3111075416,-0.454508512786,-1.86265710151,[100   0   0   0]
36,training,0.0121580325,0.1522589661180973,0.05840565440486596,20.3058912484,-0.471693268117,-1.87284198523,[100   0   0   0]
37,training,0.026915798,0.07291714474558833,0.04718707925614838,20.2954330453,-0.505659557523,-1.84580874125,[100   0   0   0]
38,training,0,0.037157393991947174,0.037281714532868424,20.2857481969,-0.542365092525,-1.821315793,[100   0   0   0]
39,training,0.025988288,0.15270733088254929,0.02198507630518374,20.2708062306,-0.599408685733,-1.80444725451,[100   0   0   0]
40,training,0.025380896,0.15759635716676712,0.01410776329965037,20.267042718,-0.615671251029,-1.7881872653,[100   0   0   0]
41,training,0,0.035669013857841506,0.01152529124712112,20.2583616419,-0.647381934678,-1.83648787474,[100   0   0   0]
42,training,0.071844116,0.2757285535335541,0.006406496849442146,20.2436059091,-0.70505934909,-1.81780187629,[100   0   0   0]
43,training,0,0.04314295202493669,0.01117544118248078,20.2350527463,-0.740574830137,-1.84560279379,[100   0   0   0]
44,training,0.040355705,0.08658406883478166,0.010431881728326157,20.2241425816,-0.779148338424,-1.83652177101,[100   0   0   0]
45,training,0.046127826,0.20111487060785294,0.018918905243160814,20.2183662539,-0.836843747802,-1.8529336346,[100   0   0   0]
46,training,0.027390648,0.08742881938815117,0.02398294849566938,20.2127122163,-0.85590300178,-1.85310328833,[100   0   0   0]
47,training,0.012979868,0.07292981818318368,0.031435158476431906,20.2014601538,-0.893209125678,-1.84136194193,[100   0   0   0]
48,training,0.011830947,0.10197722003795207,0.04160413110451542,20.1964526055,-0.911540840631,-1.84597475923,[100   0   0   0]
49,training,0.010083901,0.10519269108772278,0.05138941108012231,20.1860148398,-0.94663612577,-1.86398330752,[100   0   0   0]
50,training,0.026887346,0.07789083570241928,0.06224778668068169,20.1745277231,-0.985104633931,-1.85501558771,[100   0   0   0]
51,training,0,0.02839900553226468,0.06892467865377615,20.1599509169,-1.0414141782,-1.81663413551,[100   0   0   0]
52,training,0.018991955,0.09623669087886809,0.0730263297691478,20.158225497,-1.06021535153,-1.79696053417,[100   0   0   0]
53,training,0.03559355,0.19526700675487518,0.07699564414752649,20.150336837,-1.09923462072,-1.783721653,[100   0   0   0]
54,training,0.022937667,0.21748893707990646,0.06940354905474476,20.1415810046,-1.13811188303,-1.80224132519,[100   0   0   0]
55,training,0.022751048,0.26463212817907333,0.0661754482313839,20.1323988159,-1.17499031545,-1.83388758832,[100   0   0   0]
56,training,0.012081538,0.2179095447063446,0.06719228143078818,20.1221934122,-1.21099326784,-1.85812329597,[100   0   0   0]
57,training,0.019472087,0.24307299405336374,0.07081530439882756,20.1110631532,-1.24861861862,-1.85359693571,[100   0   0   0]
58,training,0,0.01286458969116211,0.07939001834820253,20.1001714425,-1.28730745987,-1.8321241461,[100   0   0   0]
59,training,0.00653004,0.13518948853015894,0.08353092871961743,20.0907317779,-1.32563488729,-1.79256980365,[100   0   0   0]
60,training,0.011424931,0.2131422571837902,0.07409425235410763,20.0828415879,-1.36377515961,-1.7654108189,[100   0   0   0]
61,training,0.034099385,0.20477761328220365,0.07172493347660656,20.0753385081,-1.40275415682,-1.76062947023,[100   0   0   0]
62,training,0.008211945,0.18917267583310604,0.07392653182637682,20.0679575198,-1.44137389934,-1.76966621847,[100   0   0   0]
63,training,0.0131678805,0.20253998204134405,0.07859475608414675,20.0599875702,-1.48056264413,-1.77309915251,[100   0   0   0]
64,training,0.009993155,0.21025278605520725,0.08443088113929298,20.0521231975,-1.51866379854,-1.77776184239,[100   0   0   0]
65,training,0.023893004,0.16314768791198728,0.09165574165927469,20.0403662066,-1.57452427866,-1.77418699715,[100   0   0   0]
66,training,0.032292943,0.09030073881149289,0.09758208928089883,20.0366662242,-1.59238897708,-1.77585353233,[100   0   0   0]
67,training,0.029677588,0.1854007318615914,0.10337290931391714,20.0291053873,-1.63122489894,-1.75156596807,[100   0   0   0]
68,training,0.016679546,0.1442392049357295,0.10917361529135573,20.0220153004,-1.67074950078,-1.75000334659,[100   0   0   0]
69,training,0.02526687,0.3411512896418572,0.11361495113696136,20.0163226914,-1.70734179985,-1.73590551195,[100   0   0   0]
70,training,0.031039616,0.2764213096816093,0.11908108387887709,20.0097597746,-1.74649474686,-1.73727023965,[100   0   0   0]
71,training,0.049921483,0.19201530516147614,0.12438979488101536,20.0032751772,-1.78556781315,-1.72840381289,[100   0   0   0]
72,training,0.04282804,0.141887217760086,0.13564682399328107,19.9976657805,-1.82477396398,-1.69545786835,[100   0   0   0]
73,training,0.03524194,0.1851956844329834,0.1416216095865689,19.9933625738,-1.86434087119,-1.66673715811,[100   0   0   0]
74,training,0.020162225,0.3081005178391933,0.14131024621929042,19.9902316705,-1.90054863464,-1.63935208385,[100   0   0   0]
75,training,0.053880405,0.27869610488414764,0.13983896779111854,19.9875752012,-1.93904065482,-1.65124866308,[100   0   0   0]
76,training,0.054459,0.32057996094226837,0.14122855580370225,19.9837488051,-1.97917192255,-1.68032649055,[100   0   0   0]
77,training,0,0.008591117337346077,0.14378926008834794,19.9792874282,-2.01751172711,-1.70372786462,[100   0   0   0]
78,training,0,0.034366667270660456,0.15988637354248186,19.9742466445,-2.05578538227,-1.70639900267,[100   0   0   0]
79,training,0.032784645,0.07634064927697182,0.17357569528659444,19.9671272027,-2.10364156797,-1.69994037936,[100   0   0   0]
80,training,0.045223165,0.4452960006892681,0.18361515271981185,19.9648542514,-2.12298485927,-1.68527418767,[100   0   0   0]
81,training,0.00590326,0.1420894414186477,0.19665190041278635,19.9594371024,-2.16057044039,-1.68759009582,[100   0   0   0]
82,training,0,0.035986512899398804,0.20820268624647564,19.9560586718,-2.19849290692,-1.62991301587,[100   0   0   0]
83,training,0.020444853,0.1726498156785965,0.21591948995013094,19.9549585544,-2.23659565533,-1.56801675284,[100   0   0   0]
84,training,0.06277007,0.38657524436712265,0.22628391291007705,19.9559134896,-2.27351997352,-1.50880328393,[100   0   0   0]
85,training,0.05144753,0.41184665262699127,0.22726656175297497,19.9590307709,-2.30983453045,-1.4654556851,[100   0   0   0]
86,training,0.056175727,0.5186435431241989,0.22534242441294602,19.9636011561,-2.33965788558,-1.36548199597,[100   0   0   0]
87,training,0.037580356,0.19219864904880524,0.22021152390404686,19.9719466597,-2.37429691394,-1.30257828484,[100   0   0   0]
88,training,0.018641833,0.07596937194466591,0.21944440477517047,19.9932774498,-2.44008521096,-1.20133771768,[100   0   0   0]
89,training,0,0.006848908960819244,0.20738501013894406,20.0002295301,-2.45745599639,-1.1915861502,[100   0   0   0]
90,training,0.07821587,0.24761633574962616,0.19532675577889907,20.0138344462,-2.49133088328,-1.18487253712,[100   0   0   0]
91,training,0.029116618,0.24034944735467434,0.18059802112470433,20.035976325,-2.54361531283,-1.14456019588,[100   0   0   0]
92,training,0.02933201,0.21509288996458054,0.16312386736994372,20.0489209578,-2.5809812684,-1.1444349457,[100   0   0   0]
93,training,0.1203434,0.1789525793865323,0.15699956367601933,20.0611510461,-2.6159360332,-1.14165321852,[100   0   0   0]
94,training,0.084882185,0.4707045406103134,0.14896779624781353,20.0673011829,-2.64598583938,-1.17667642947,[100   0   0   0]
95,training,0.01580729,0.12936284393072128,0.14676187941239507,20.0713969648,-2.66343551363,-1.19189196624,[100   0   0   0]
96,training,0.09294218,0.18612388335168362,0.14284076525176817,20.0844844614,-2.69881698711,-1.19553238933,[100   0   0   0]
97,training,0,0.035958909429609776,0.1316360849951977,20.090629032,-2.71477316002,-1.2176590763,[100   0   0   0]
98,training,0.05815804,0.18919968977570534,0.1197076923809888,20.1078779811,-2.76544192073,-1.25090159102,[100   0   0   0]
99,training,0,0.04720466956496239,0.1167985112790183,20.1183294802,-2.79372150261,-1.19364959536,[100   0   0   0]
100,training,0.027808562,0.18975257128477097,0.1136711664305895,20.1330311023,-2.83536809977,-1.26143424099,[100   0   0   0]
101,training,0.018861495,0.056115568149834885,0.10057814648365596,20.1454112204,-2.87289800949,-1.24247839248,[100   0   0   0]
102,training,0,0.013250201940536471,0.09057669582955923,20.1584480767,-2.91029822909,-1.22839854278,[100   0   0   0]
103,training,0.01667184,0.07912291213870049,0.08275495473984688,20.1652041234,-2.92908270506,-1.2229061564,[100   0   0   0]
104,training,0.012046911,0.16853744187392294,0.07517582668342744,20.1718781034,-2.94707817388,-1.21429441788,[100   0   0   0]
105,training,0.04274314,0.2660466320812702,0.06917666293654023,20.1844713578,-2.98300229225,-1.21103496145,[100   0   0   0]
106,training,0.032217793,0.2530026640743017,0.06323200663477775,20.1982929279,-3.0198424715,-1.20876559009,[100   0   0   0]
107,training,0.02658889,0.15287728607654572,0.05713686295836648,20.2126479875,-3.05725575233,-1.19539570228,[100   0   0   0]
108,training,0.032688808,0.13595537841320043,0.05040690528562541,20.2263044969,-3.08775747307,-1.15226713347,[100   0   0   0]
109,training,0.04107789,0.08759297430515287,0.04304176956637927,20.2427410108,-3.12293453954,-1.12636831436,[100   0   0   0]
110,training,0.013805461,0.18049215525388718,0.040330417492401766,20.2602443199,-3.1585543811,-1.10129951035,[100   0   0   0]
111,training,0.018328466,0.27134913206100464,0.03523138320926355,20.2784347109,-3.19378499357,-1.08960910149,[100   0   0   0]
112,training,0.020517234,0.2665834669023752,0.04204376053236338,20.2962173764,-3.22815423963,-1.09607544681,[100   0   0   0]
113,training,0.021263426,0.29648247640579933,0.04606892749471215,20.3140401905,-3.2628347604,-1.09603190666,[100   0   0   0]
114,training,0.020357706,0.2834105901420116,0.05000998780332688,20.3321091423,-3.2971082886,-1.08137246288,[100   0   0   0]
115,training,0.027405486,0.2514021471142769,0.053724540170057455,20.3509769464,-3.33171190004,-1.07126039003,[100   0   0   0]
116,training,0.062361814,0.19514894485473633,0.05799362948822284,20.3669016336,-3.35847711081,-0.990125506962,[100   0   0   0]
117,training,0.026554268,0.25935459136962885,0.059855106471776255,20.3874855277,-3.38721524245,-0.933722701217,[100   0   0   0]
118,training,0.049385395,0.21377378329634666,0.06598441075223753,20.4108843237,-3.41848103373,-0.927586219268,[100   0   0   0]
119,training,0.05057165,0.31262409687042236,0.07256059598248965,20.4345584887,-3.44994979332,-0.924653921653,[100   0   0   0]
120,training,0.047888998,0.30289597436785703,0.07887533422788572,20.4583740418,-3.48155534857,-0.929237866419,[100   0   0   0]
121,training,0.024095189,0.4231642726808786,0.08043799178075103,20.4820567606,-3.50397002303,-0.887359915533,[100   0   0   0]
122,training,0.020359807,0.28780026733875275,0.08529166155201014,20.5044277917,-3.53032751634,-0.842517783296,[100   0   0   0]
123,training,0.072473936,0.23115457594394684,0.09160976589687095,20.5269537554,-3.55662727256,-0.784635099864,[100   0   0   0]
124,training,0.017812707,0.22205506265163416,0.09588162355357417,20.5512255255,-3.57985111668,-0.724504047659,[100   0   0   0]
125,training,0.04955735,0.12399479746818542,0.10829414607354029,20.5766423259,-3.60217581073,-0.700711663288,[100   0   0   0]
126,training,0.019073639,0.26776632666587835,0.11666481687060931,20.6076351875,-3.62724691087,-0.66309358607,[100   0   0   0]
127,training,0.03352663,0.3152659460902214,0.12182715497230306,20.6393141543,-3.65128183846,-0.638306175574,[100   0   0   0]
128,training,0.021198355,0.2808095086365939,0.12879418613151714,20.670967009,-3.67445003362,-0.628296207744,[100   0   0   0]
129,training,0.03273853,0.32279166765511036,0.1364514835159804,20.7028261825,-3.69737842921,-0.62063397403,[100   0   0   0]
130,training,0.02286894,0.2894850373268128,0.1439696683828196,20.7352817539,-3.72041883363,-0.610591910154,[100   0   0   0]
131,training,0.005214746,0.3178122937679291,0.15171659386130099,20.7675876982,-3.74241701254,-0.579683313838,[100   0   0   0]
132,training,0.055564187,0.12059257924556732,0.1663457804458366,20.798147317,-3.76087526667,-0.532652978783,[100   0   0   0]
133,training,0.0038105685,0.2206067591905594,0.17433863933133617,20.8275858725,-3.77494963365,-0.437189577969,[100   0   0   0]
134,training,0.02999693,0.16402411460876465,0.17547156644736817,20.8581844037,-3.78674302449,-0.372850990155,[100   0   0   0]
135,training,0.019668195,0.2521828711032867,0.17873468055191596,20.8944570894,-3.80045110093,-0.347919954725,[100   0   0   0]
136,training,0.028150285,0.32559850066900253,0.1878598714341715,20.9319757949,-3.81351540115,-0.324631342568,[100   0   0   0]
137,training,0.03174262,0.28074752166867256,0.19631722548478714,20.9687243015,-3.82574371144,-0.319540580829,[100   0   0   0]
138,training,0.05847442,0.29380716010928154,0.20406609152198793,21.00606859,-3.83779609538,-0.318171392311,[100   0   0   0]
139,training,0.015961546,0.3741840943694115,0.21085092295751381,21.0409538328,-3.84839756788,-0.27320832763,[100   0   0   0]
140,training,0.021138886,0.25262682139873505,0.2118591927950101,21.0776996373,-3.8571095854,-0.19065065717,[100   0   0   0]
141,training,0.061098203,0.12950587272644043,0.20819149286531444,21.1155994201,-3.86279676169,-0.109805787767,[100   0   0   0]
142,training,0.03697288,0.2835652381181717,0.2063078772678904,21.1453359574,-3.86333202828,0.0268216735704,[100   0   0   0]
143,training,0.020317633,0.12866593897342685,0.20755185272422683,21.1733861039,-3.86716227941,0.0613564816002,[100   0   0   0]
144,training,0.03688161,0.13990580011159182,0.20461811467187924,21.2114694089,-3.86347895162,0.120270250945,[100   0   0   0]
145,training,0.030013837,0.11099092662334441,0.2000136622511305,21.2472331449,-3.85853057251,0.166792126845,[100   0   0   0]
146,training,0.03143644,0.05861197784543039,0.19262532781728903,21.3019256256,-3.84738200028,0.216403494598,[100   0   0   0]
147,training,0.058939464,0.10140925645828247,0.18520211688938723,21.3364455736,-3.83977081797,0.20297753161,[100   0   0   0]
148,training,0.039889093,0.09611896798014641,0.17886377412920362,21.3897533879,-3.82774617405,0.238133695436,[100   0   0   0]
149,training,0,0.025334788020700216,0.1701646452490907,21.4040330761,-3.82070023932,0.21082434065,[100   0   0   0]
150,training,0.02583191,0.06033693999052048,0.16301547445912962,21.4567866487,-3.81012543401,0.203732003642,[100   0   0   0]
151,training,0.012190802,0.06353161297738552,0.15589863718211783,21.4743901261,-3.80634877208,0.216639368433,[100   0   0   0]
152,training,0,0.0056168223381973794,0.15131062925915306,21.4915145106,-3.80304716635,0.204358984827,[100   0   0   0]
153,training,0.02222408,0.13342121057212353,0.14510301591028138,21.5453814676,-3.79153577312,0.220559934742,[100   0   0   0]
154,training,0.008700706,0.055318934842944145,0.14034474825283244,21.5834440063,-3.78283395367,0.229872540653,[100   0   0   0]
155,training,0,0.009996789507567883,0.1345312104113888,21.6206890499,-3.77454032506,0.222278099338,[100   0   0   0]
156,training,0.024264943,0.11233358271420002,0.1279007184738694,21.6595840771,-3.76568996124,0.224866952067,[100   0   0   0]
157,training,0,0.0030381958931684425,0.12051488168305752,21.6985333794,-3.75680052158,0.222328248521,[100   0   0   0]
158,training,0,0.017645642161369324,0.11423230441819637,21.7180799969,-3.75241292506,0.218871277501,[100   0   0   0]
159,training,0,0.03982684761285782,0.1072313878650481,21.7566733935,-3.74401540153,0.215222141015,[100   0   0   0]
160,training,0.030607138,0.06139573082327843,0.1029092419689795,21.8141197752,-3.73453365802,0.20679705374,[100   0   0   0]
161,training,0.03728391,0.15319004282355309,0.1017145860468464,21.8524807216,-3.72784205714,0.207717049515,[100   0   0   0]
162,training,0.017277164,0.07008590034092776,0.09575162828345893,21.8912219343,-3.71965217107,0.211771410882,[100   0   0   0]
163,training,0.012906038,0.0967553798109293,0.08919486984557794,21.9305864393,-3.71098878797,0.222159178756,[100   0   0   0]
164,training,0.008512988,0.10672163963317871,0.08243096233059552,21.9891414868,-3.69797535308,0.201548089339,[100   0   0   0]
165,training,0.010777909,0.08832244947552681,0.07225148746402876,22.0435936609,-3.6852474792,0.227218962232,[100   0   0   0]
166,training,0,0.02792935818433763,0.06295897111219903,22.0821380181,-3.67606967769,0.23252664125,[100   0   0   0]
167,training,0.019503448,0.14436696562916038,0.05646561556524101,22.1010945268,-3.67146237121,0.222718515371,[100   0   0   0]
168,training,0,0.049937465693801635,0.052026617493100766,22.1398990469,-3.66308065568,0.209219232075,[100   0   0   0]
169,training,0,0.04735112190246582,0.04983633439769968,22.1594506104,-3.65892384144,0.209317418178,[100   0   0   0]
170,training,0.009626051,0.0863572433590889,0.04259897926501349,22.1974439636,-3.65063099308,0.205793663918,[100   0   0   0]
171,training,0,0.0055446624755859375,0.03736006338576954,22.2350743112,-3.64264019385,0.220177533267,[100   0   0   0]
172,training,0.008524617,0.07207597047090533,0.02901137777005727,22.2542210342,-3.63831130352,0.220507526554,[100   0   0   0]
173,training,0.009424472,0.11957257613539696,0.023530358084524722,22.2933081536,-3.62982564956,0.207483712681,[100   0   0   0]
174,training,0.019716505,0.17373847402632236,0.016741121290778645,22.3316494538,-3.62196440103,0.203219283333,[100   0   0   0]
175,training,0.006237618,0.2066356474533677,0.01294754159483051,22.3686194066,-3.61456894803,0.220731833821,[100   0   0   0]
176,training,0.010044967,0.2063569851743523,0.0066154480801602425,22.4065428355,-3.60581199066,0.227413920513,[100   0   0   0]
177,training,0.008472113,0.19103303737938404,0.007265236564401866,22.4445134749,-3.59688036515,0.232265599355,[100   0   0   0]
178,training,0.0071770526,0.15366154164075851,0.01581689552546101,22.4835342624,-3.58778364391,0.222707497683,[100   0   0   0]
179,training,0.008979712,0.15432403981685636,0.02003383319619345,22.5225992024,-3.5792328687,0.209128150856,[100   0   0   0]
180,training,0.024482526,0.18630584143102166,0.0319175710047617,22.5606450773,-3.57015748943,0.197661196138,[100   0   0   0]
181,training,0.002145622,0.16978895291686058,0.040436562944039196,22.5994508261,-3.55988213076,0.189753615207,[100   0   0   0]
182,training,0.008126971,0.09649719297885895,0.052068635745796,22.6372943488,-3.54999036008,0.182247148046,[100   0   0   0]
183,training,0.007725538,0.13496985286474228,0.06127920918947783,22.6751849381,-3.54026671711,0.170342469525,[100   0   0   0]
184,training,0.0052698124,0.14697851985692978,0.07186153821000309,22.714438003,-3.53358617992,0.151885130688,[100   0   0   0]
185,training,0.010047125,0.15693620592355728,0.07965046525406302,22.7532408793,-3.52807218233,0.129448626393,[100   0   0   0]
186,training,0.010419244,0.08883338421583176,0.08484587316428313,22.7924488176,-3.52332451772,0.113849890868,[100   0   0   0]
187,training,0.0070176735,0.1474150214344263,0.09061235178874459,22.832050623,-3.51894173384,0.107521898035,[100   0   0   0]
188,training,0.0041814847,0.14109428972005844,0.09477742148158981,22.8712955136,-3.51482767861,0.100113750261,[100   0   0   0]
189,training,0.010344654,0.10420717671513557,0.09985980503805388,22.9110433019,-3.5109749436,0.0915595883182,[100   0   0   0]
190,training,0,0.022051081061363192,0.10958317460827946,22.9698246212,-3.50660075801,0.057057684796,[100   0   0   0]
191,training,0.0045913653,0.05004516988992694,0.11576822064995053,22.9899925252,-3.50555912712,0.0461132759275,[100   0   0   0]
192,training,0.007695955,0.08457634970545767,0.11595567486359654,23.0249930455,-3.50655869057,-0.00851648223755,[100   0   0   0]
193,training,0,0.002029538154602044,0.11579180719123046,23.0835799337,-3.50738016278,-0.0129283505346,[100   0   0   0]
194,training,0,0.046710528433322906,0.11533128314469547,23.1224178643,-3.50780057259,-0.0123782923149,[100   0   0   0]
