step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.029756743,0.17250142991542813,0.037780664851801635,-5.00017925239,7.69947126614,-3.13996934415,[  0   0 100   0]
2,training,0.6564845,0.8100934475660324,0.03640465325419622,-5.00238662954,7.69946449073,-3.13992748762,[  0   0 100   0]
3,training,0.035077162,0.19995395839214325,0.026631987441245727,-5.03065290276,7.69938993022,-3.13503460333,[  0   0 100   0]
4,training,0.18058561,0.4073309898376465,0.048958908191592466,-5.06939856993,7.69876941702,-3.12977660959,[  0   0 100   0]
5,training,0.36284593,0.592384397983551,0.08237341667634447,-5.10926112922,7.69875242092,-3.13371950311,[  0   0 100   0]
6,training,0.17116253,0.3667929992079735,0.10468673377817417,-5.1492005018,7.69785912692,-3.10368884031,[  0   0 100   0]
7,training,0,0.009622946381568923,0.1177808290575026,-5.18877318591,7.69582165243,-3.07873194402,[  0   0 100   0]
8,training,0.18473417,0.48140034079551697,0.1238885826014794,-5.2285838361,7.69289446811,-3.05859257813,[  0   0 100   0]
9,training,0,0.024223968386650085,0.12808181666628726,-5.2683093193,7.68924611568,-3.04097794539,[  0   0 100   0]
10,training,0.10395767,0.3129517287015915,0.14894586056450324,-5.30768251514,7.68473563154,-3.01144324246,[  0   0 100   0]
11,training,0.093686216,0.26392198354005814,0.1719999806331597,-5.36674014368,7.67571412812,-2.97121076265,[  0   0 100   0]
12,training,0.012766157,0.24209602735936642,0.17185457372150892,-5.38624444361,7.67222897815,-2.95905847712,[  0   0 100   0]
13,training,0.069954306,0.3330826945602894,0.1727281417024392,-5.42505363557,7.66471354457,-2.94553701839,[  0   0 100   0]
14,training,0.07072078,0.08893360383808613,0.1640030603659442,-5.48386749589,7.65300810203,-2.9475163812,[  0   0 100   0]
15,training,0,0.004725838080048561,0.15490816681586483,-5.50340347909,7.64917504151,-2.94907029279,[  0   0 100   0]
16,training,0.023209,0.2386541534215212,0.15958084627381977,-5.56225526407,7.63774349214,-2.94793835375,[  0   0 100   0]
17,training,0.022909151,0.10096142441034317,0.16021171303759366,-5.58188153966,7.63387267939,-2.94595769416,[  0   0 100   0]
18,training,0.03998311,0.11901693604886532,0.15187592921546664,-5.62094196377,7.62597628076,-2.93736540201,[  0   0 100   0]
19,training,0.013458399,0.09033650904893875,0.14477524022961932,-5.65999243129,7.61773518992,-2.9323634375,[  0   0 100   0]
20,training,0.044236995,0.2501196637749672,0.13840155193903297,-5.71864033503,7.6052785275,-2.93368488438,[  0   0 100   0]
21,training,0,0.02812797576189041,0.1267698545130122,-5.73821013418,7.60116499256,-2.93590747332,[  0   0 100   0]
22,training,0.04717301,0.0647803284227848,0.11741233492343466,-5.7774361928,7.5931144726,-2.94293362176,[  0   0 100   0]
23,training,0.028365089,0.23250021785497665,0.11033134995738263,-5.81661471694,7.58533463669,-2.94817794027,[  0   0 100   0]
24,training,0.010167505,0.175657469779253,0.1038649584719696,-5.85594355056,7.57776374169,-2.95627838337,[  0   0 100   0]
25,training,0,0.01782309263944626,0.09967007554714527,-5.89529175447,7.57059688699,-2.96571714376,[  0   0 100   0]
26,training,0.018993013,0.05874046590179205,0.09609022780796454,-5.93477664227,7.56376557308,-2.97562684837,[  0   0 100   0]
27,training,0.059242427,0.2068050615489483,0.08659744378717135,-5.99372091359,7.5539427838,-2.96862651562,[  0   0 100   0]
28,training,0,0.022868361324071877,0.07711006477489606,-6.01329483653,7.55043781719,-2.96010598885,[  0   0 100   0]
29,training,0,0.045008156448602676,0.06888963200997607,-6.05270435497,7.5430645253,-2.96043433146,[  0   0 100   0]
30,training,0.011520414,0.17873166501522064,0.06078655318051574,-6.09213287529,7.53606489873,-2.9691553752,[  0   0 100   0]
31,training,0.017524913,0.1689647138118744,0.053901374530316445,-6.13131115308,7.52905670902,-2.9526652823,[  0   0 100   0]
32,training,0.011155388,0.09752313885837793,0.04499825777237033,-6.17044521931,7.52113099496,-2.93790958212,[  0   0 100   0]
33,training,0.018073818,0.09366608038544655,0.038757887530505415,-6.20958328813,7.51307696859,-2.94158084253,[  0   0 100   0]
34,training,0.021899063,0.10535363480448723,0.03339689689131742,-6.24883586105,7.50522925696,-2.94687724067,[  0   0 100   0]
35,training,0.022187505,0.14376842137426135,0.029280172821407168,-6.2880891672,7.49754735559,-2.94831579502,[  0   0 100   0]
36,training,0.019515866,0.18069375306367874,0.023671274597237116,-6.32721326709,7.48979572691,-2.94286698179,[  0   0 100   0]
37,training,0.010716214,0.1948382295668125,0.01842858184033381,-6.36629025644,7.48179080557,-2.93664514271,[  0   0 100   0]
38,training,0.01403969,0.20703751035034657,0.012632942953505727,-6.40536787573,7.47355209612,-2.93072287197,[  0   0 100   0]
39,training,0.023660518,0.24863659078255293,0.013688361947826506,-6.44438880501,7.46508925354,-2.92709613598,[  0   0 100   0]
40,training,0.019642102,0.19424476847052574,0.0031651200159791473,-6.48349661746,7.45666102855,-2.93391463303,[  0   0 100   0]
41,training,0.028767299,0.1330778598785401,0.0131413568396191,-6.52253999818,7.44864669669,-2.94707235311,[  0   0 100   0]
42,training,0.012801949,0.1457890123128891,0.01666875243597108,-6.5620094666,7.44126921259,-2.96708978001,[  0   0 100   0]
43,training,0.018825304,0.13618963956832886,0.026231766943169425,-6.60155510064,7.4347179472,-2.98711107413,[  0   0 100   0]
44,training,0.017343806,0.16629842296242717,0.03110315977972894,-6.6411957266,7.428868118,-3.0010928754,[  0   0 100   0]
45,training,0.040287465,0.22938198316842315,0.03699362831544211,-6.68083809376,7.42341775626,-3.00766354621,[  0   0 100   0]
46,training,0.022015736,0.24965333007276058,0.04447847788451201,-6.72032567017,7.41815684687,-3.01116977029,[  0   0 100   0]
47,training,0.019669417,0.236026830971241,0.0525393477315072,-6.7601279846,7.41307152271,-3.01932142463,[  0   0 100   0]
48,training,0.031913012,0.08960462361574173,0.057123513863022723,-6.79989243217,7.40846145631,-3.03384078294,[  0   0 100   0]
49,training,0.026336225,0.20146367326378822,0.06156263529782225,-6.83968926745,7.40441860283,-3.04633595808,[  0   0 100   0]
50,training,0.025884174,0.2567952144891024,0.06407063985436755,-6.87970077034,7.40076473941,-3.05352270722,[  0   0 100   0]
51,training,0.04467742,0.26709153223782783,0.06820482615937361,-6.9193994599,7.39733015178,-3.05609372672,[  0   0 100   0]
52,training,0.034335244,0.21875020861625666,0.07630134979152982,-6.95934752899,7.39399623189,-3.062934247,[  0   0 100   0]
53,training,0.033607107,0.14087308943271637,0.08548857538387405,-6.99955789336,7.39114802837,-3.08219041387,[  0   0 100   0]
54,training,0.017677575,0.10462416708469391,0.0873996204152418,-7.03956210657,7.38927302227,-3.1077907726,[  0   0 100   0]
55,training,0.018495478,0.07294872403144834,0.08912472537534481,-7.07994466175,7.38846733059,-3.13651200111,[  0   0 100   0]
56,training,0,0.024398252367973328,0.08811399276725984,-7.12007968455,7.38887723471,3.11451187507,[  0   0 100   0]
57,training,0.029371742,0.05241527408361435,0.08844138588942776,-7.16031974448,7.39067398362,3.07903240146,[  0   0 100   0]
58,training,0,0.0181085467338562,0.08714020094681864,-7.20048477805,7.39379114792,3.05239714832,[  0   0 100   0]
59,training,0.013879466,0.10196497105062008,0.08745424343441346,-7.24038015054,7.39782544786,3.02859310749,[  0   0 100   0]
60,training,0.034742974,0.2032761089503765,0.08771737533222625,-7.28026213698,7.40258222135,3.02396658516,[  0   0 100   0]
61,training,0.029247165,0.17153024906292558,0.08324486318123742,-7.31990378586,7.40719070602,3.02561162516,[  0   0 100   0]
62,training,0.024844768,0.09516920149326327,0.08317818119875169,-7.35957198343,7.41191807572,3.01734614195,[  0   0 100   0]
63,training,0,0.034303970634937286,0.08947280746801582,-7.39936303532,7.41720924254,2.99990226023,[  0   0 100   0]
64,training,0,0.03614888712763786,0.088323204380685,-7.43894357492,7.42324541449,2.97941830419,[  0   0 100   0]
65,training,0.031166688,0.11605063453316689,0.08553436185239491,-7.47850647332,7.43014347596,2.95888693082,[  0   0 100   0]
66,training,0.026647983,0.14807939156889915,0.08663877643292134,-7.51790053569,7.43784638115,2.93471625543,[  0   0 100   0]
67,training,0.018994834,0.07421677932143211,0.09019208721520122,-7.55669157446,7.44653980011,2.91044136023,[  0   0 100   0]
68,training,0.011060616,0.09132801741361618,0.08835339516398222,-7.59555515159,7.45599160211,2.89766630938,[  0   0 100   0]
69,training,0.006113897,0.14640946220606565,0.07983185814518716,-7.65382347332,7.47111642801,2.87250181981,[  0   0 100   0]
70,training,0.008707635,0.1333438791334629,0.06782659496751174,-7.67299196423,7.47652862053,2.85844867907,[  0   0 100   0]
71,training,0.018383075,0.14668333157896996,0.05657798905596443,-7.73050080626,7.49432827836,2.83056215934,[  0   0 100   0]
72,training,0.010893546,0.1952081024646759,0.03596740303370371,-7.74960293785,7.50053714459,2.82471337541,[  0   0 100   0]
73,training,0.03889037,0.2789207920432091,0.017148126412930745,-7.78735810595,7.51314795827,2.80713860446,[  0   0 100   0]
74,training,0.037704468,0.28581883758306503,0.02132443877430936,-7.82517611458,7.52684573716,2.78254672654,[  0   0 100   0]
75,training,0.028801097,0.16167642065556717,0.013105152571278781,-7.86276537326,7.54132325364,2.77006718213,[  0   0 100   0]
76,training,0.031479396,0.13906726613640785,0.013547988232997882,-7.8999096751,7.55572897346,2.77445829692,[  0   0 100   0]
77,training,0.03235179,0.2547769006341695,0.0028483461498720916,-7.93738393983,7.57003227143,2.7791782139,[  0   0 100   0]
78,training,0.019178635,0.2880563884973526,0.010914320255974662,-7.97466401488,7.58419965852,2.77349259941,[  0   0 100   0]
79,training,0.04360584,0.30253973603248596,0.018247047688609914,-8.01199004595,7.59910187551,2.74525480476,[  0   0 100   0]
80,training,0.050172463,0.3146989494562149,0.030654574658730796,-8.04894086589,7.61531166481,2.71128703067,[  0   0 100   0]
81,training,0.049224064,0.282938189804554,0.04207316417059436,-8.08489061514,7.63241712292,2.68807843167,[  0   0 100   0]
82,training,0.05716271,0.2838300243020057,0.056130592695240476,-8.12089739387,7.65004147124,2.691070897,[  0   0 100   0]
83,training,0.019820733,0.28342947363853455,0.06951737526085185,-8.15683901082,7.66712242507,2.70380900051,[  0   0 100   0]
84,training,0.01780447,0.31703245267271996,0.08274786824127517,-8.19302264596,7.6838572386,2.71191954778,[  0   0 100   0]
85,training,0.03838747,0.3086751773953438,0.09954972750960794,-8.22948934314,7.70043297162,2.71816787498,[  0   0 100   0]
86,training,0.046981648,0.31852632761001587,0.11863246458699649,-8.26581043126,7.71674506385,2.71677745168,[  0   0 100   0]
87,training,0.061077908,0.30027778446674347,0.12684529810352346,-8.30229199224,7.73348761806,2.703070491,[  0   0 100   0]
88,training,0.041981395,0.27585893124341965,0.1351153033487106,-8.33850998762,7.75078546042,2.69058665219,[  0   0 100   0]
89,training,0.03398238,0.29965272080153227,0.14847538918573902,-8.3742856839,7.76824162476,2.6874614707,[  0   0 100   0]
90,training,0.052655593,0.2846967875957489,0.161262448025891,-8.41035836198,7.78563201376,2.70084530712,[  0   0 100   0]
91,training,0.0405671,0.32062090188264847,0.1711155138740702,-8.44643740084,7.80219940463,2.72100598922,[  0   0 100   0]
92,training,0.029718038,0.3179539293050766,0.18490976489044095,-8.48297812448,7.81822945076,2.73284656232,[  0   0 100   0]
93,training,0.053698547,0.30032117106020456,0.20110156200853466,-8.51974254265,7.83401993118,2.73607360843,[  0   0 100   0]
94,training,0.048901863,0.5872266385704279,0.21345321484129717,-8.55598580272,7.84924478938,2.76578070231,[  0   0 100   0]
95,training,0.042946845,0.5542224906384945,0.2226230609564311,-8.5930452701,7.86222318446,2.85949381063,[  0   0 100   0]
96,training,0.022884946,0.4402757268399001,0.22879206287303042,-8.63105887371,7.87092467579,2.9713378537,[  0   0 100   0]
97,training,0.027650706,0.36733145825564856,0.23249540711589067,-8.669716472,7.87554654796,3.06956470355,[  0   0 100   0]
98,training,0.08057085,0.2967973668128252,0.23632665439028894,-8.70883770517,7.87678227576,-3.13748515809,[  0   0 100   0]
99,training,0.030200854,0.12189780175685883,0.23571355168115687,-8.7483637404,7.87532470502,-3.07526640454,[  0   0 100   0]
100,training,0,0.017596498131752014,0.231773423907798,-8.78781918952,7.87178887552,-3.0317568039,[  0   0 100   0]
101,training,0.027618423,0.16827350854873657,0.22636103059689505,-8.82707251102,7.86660781496,-2.98799598841,[  0   0 100   0]
102,training,0.014844468,0.17910465598106384,0.2209645609675029,-8.86607218596,7.85970927019,-2.94637629064,[  0   0 100   0]
103,training,0.07830985,0.2477220520377159,0.2186505314647723,-8.90491382468,7.85131035817,-2.91227818342,[  0   0 100   0]
104,training,0.061339013,0.24936802685260773,0.20605605183436382,-8.94343827098,7.84171404926,-2.88479289921,[  0   0 100   0]
105,training,0.042269625,0.1390040349215269,0.19440323346360705,-8.98176001587,7.83108824961,-2.85571543455,[  0   0 100   0]
106,training,0.031847715,0.06658745929598806,0.18367629153333553,-9.01983111381,7.81927806364,-2.82466499062,[  0   0 100   0]
107,training,0.05047708,0.08267145603895189,0.1737672238078217,-9.05729294454,7.80640728544,-2.79808942826,[  0   0 100   0]
108,training,0.043025836,0.2185547575354576,0.16158262262410839,-9.0947454263,7.79250638552,-2.77437722912,[  0   0 100   0]
109,training,0.13644567,0.29117250442504883,0.14871044553584128,-9.13167760516,7.77781144174,-2.75021578611,[  0   0 100   0]
110,training,0.055326033,0.1460826676338911,0.135577852995116,-9.16818908205,7.76217483329,-2.72316132836,[  0   0 100   0]
111,training,0,0.00014732778072359953,0.11959659692536241,-9.20447135061,7.74549656418,-2.69923057015,[  0   0 100   0]
112,training,0.039724708,0.05470105260610578,0.10341664691735897,-9.25776525055,7.71898801353,-2.65882500306,[  0   0 100   0]
113,training,0.033797096,0.14657717570662498,0.08749558284282877,-9.27539575033,7.70961130867,-2.64794018133,[  0   0 100   0]
114,training,0.049302965,0.065996402699966,0.07152744850608599,-9.310183194,7.69047095502,-2.63409069009,[  0   0 100   0]
