step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.0033007367,0.057452037930488586,0.03247064212640204,20.2893842648,1.12767503085,-1.54237184096,[  0   0 100   0]
2,training,0.23605299,0.45659609138965607,0.030495456623902732,20.2896341353,1.11894307869,-1.54100440298,[  0   0 100   0]
3,training,0,0.037462685257196426,0.013280633921720771,20.2901083946,1.10621920908,-1.52976274471,[  0   0 100   0]
4,training,0.30990028,0.7989871501922607,0.011376120559485723,20.2899034295,1.08751694937,-1.65043456124,[  0   0 100   0]
5,training,0.31228626,0.7492898106575012,0.01488702389494651,20.2864779391,1.06454589703,-1.78759057227,[  0   0 100   0]
6,training,0.11113108,0.17249861359596252,0.029516173696491857,20.2768486439,1.03100068064,-1.88869073058,[  0   0 100   0]
7,training,0.04341667,0.2171810418367386,0.06661105803214401,20.2672389777,1.0056730206,-2.01559615771,[  0   0 100   0]
8,training,0,0.033958375453948975,0.09879740799073278,20.2527521502,0.981315163165,-2.18006514993,[  0   0 100   0]
9,training,0.16501191,0.43477918207645416,0.13564518614014442,20.2297238444,0.950659763614,-2.26766737873,[  0   0 100   0]
10,training,0.20530379,0.6409021764993668,0.17215900786600688,20.2025122162,0.920517228122,-2.32663192977,[  0   0 100   0]
11,training,0.059203893,0.794806569814682,0.20321325130536502,20.1761017862,0.892796113082,-2.31602229069,[  0   0 100   0]
12,training,0.2062755,0.6953491941094398,0.23438718792575935,20.1503557019,0.863930598655,-2.25311127189,[  0   0 100   0]
13,training,0.17545912,0.46845772862434387,0.25561903699651767,20.1302854971,0.836830886449,-2.14139645228,[  0   0 100   0]
14,training,0.33162898,0.3771845996379851,0.27581438030503735,20.1117100138,0.803822674317,-2.02190825496,[  0   0 100   0]
15,training,0.14443688,0.3066992461681366,0.2912175232895282,20.0981849829,0.77156320639,-1.88882554424,[  0   0 100   0]
16,training,0.24008991,0.20548593997955322,0.2965641341050927,20.090567018,0.739940766183,-1.74630608946,[  0   0 100   0]
17,training,0.13031396,0.27263832092285156,0.2995636769539994,20.0859134422,0.703477711061,-1.64059470448,[  0   0 100   0]
18,training,0.066626534,0.26906968280673027,0.29299047191818306,20.0846929698,0.665287960732,-1.56919898923,[  0   0 100   0]
19,training,0.25205687,0.36160407960414886,0.28651089088852216,20.0857876082,0.626446659067,-1.50687890082,[  0   0 100   0]
20,training,0.20002538,0.2907373867928982,0.2801344394288675,20.0895099341,0.587118035607,-1.44627109026,[  0   0 100   0]
21,training,0.12723932,0.17874869611114264,0.273185442079041,20.09545107,0.547989160138,-1.39660970293,[  0   0 100   0]
