step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0,0.024650804698467258,0.052537827814023864,20.380017488,0.759983280385,-1.56987991259,[  0   0 100   0]
2,training,0.0071195294,0.08437730371952057,0.04865946995452449,20.3809455946,0.739018713878,-1.47129841697,[  0   0 100   0]
3,training,0.18714805,0.4195014387369156,0.04367411387542313,20.3835750078,0.72107099877,-1.39484860946,[  0   0 100   0]
4,training,0.017542802,0.16307759284973145,0.0451125610591649,20.3860128596,0.708103032769,-1.37274498348,[  0   0 100   0]
5,training,0.1106261,0.3191237561404705,0.03299661804874521,20.3996740873,0.651450886404,-1.29411664039,[  0   0 100   0]
6,training,0.010450894,0.18121212348341942,0.022186249823716992,20.4116485757,0.613760430498,-1.22757947622,[  0   0 100   0]
7,training,0.06420712,0.2635894604027271,0.03682811985985226,20.4333595957,0.559283374197,-1.18304511891,[  0   0 100   0]
8,training,0.029447418,0.3665939997881651,0.05249930508907977,20.4409183937,0.5406491125,-1.19382121557,[  0   0 100   0]
9,training,0.045806885,0.5067977234721184,0.06246823018447486,20.4482143241,0.521662421724,-1.21234765442,[  0   0 100   0]
10,training,0.027896684,0.22783367335796356,0.07814748470774763,20.463269691,0.486445954362,-1.19949289599,[  0   0 100   0]
11,training,0.15696742,0.505376785993576,0.0889601770674915,20.4741791906,0.453183305605,-1.2637103222,[  0   0 100   0]
12,training,0.026096435,0.4891301691532135,0.10079520950748685,20.4855693057,0.417169531563,-1.28539630091,[  0   0 100   0]
13,training,0.05099033,0.3109711483120918,0.11893783037039787,20.4954606107,0.377869218249,-1.36800993806,[  0   0 100   0]
14,training,0.05083613,0.12357550859451288,0.1252678311035334,20.5019024399,0.338026080602,-1.45158137107,[  0   0 100   0]
15,training,0,0.030050009489059448,0.1339009852039498,20.5058145625,0.279157031717,-1.55964059791,[  0   0 100   0]
16,training,0.054981228,0.10161720216274261,0.14023796812475864,20.5057556464,0.259834310781,-1.59037109634,[  0   0 100   0]
17,training,0,0.04778201878070826,0.1458109698060198,20.5038502361,0.220184893794,-1.64139957953,[  0   0 100   0]
18,training,0.08138403,0.14755875244736671,0.14527900703411525,20.5006043942,0.183382913225,-1.67254793818,[  0   0 100   0]
19,training,0.021967739,0.11109064891934395,0.14357008881965588,20.4959333275,0.144247990673,-1.70953305274,[  0   0 100   0]
20,training,0.058370404,0.05836896970868111,0.13887687188573294,20.4868176292,0.0861991559277,-1.7513835066,[  0   0 100   0]
21,training,0.022455879,0.08615458011627197,0.12969225306180673,20.4791242638,0.0468456069706,-1.77416637922,[  0   0 100   0]
22,training,0.03539785,0.1813092976808548,0.1217355290222476,20.4706818653,0.00767131732692,-1.79148866759,[  0   0 100   0]
23,training,0.03163799,0.11652560532093048,0.11362140764142178,20.4621524146,-0.0302497093819,-1.79154686246,[  0   0 100   0]
24,training,0.026711646,0.2553538866341114,0.10467041903362605,20.4528547195,-0.0694371110892,-1.81807136557,[  0   0 100   0]
25,training,0,0.015205033123493195,0.09640129320781397,20.4478538729,-0.0887575442444,-1.8297770205,[  0   0 100   0]
26,training,0,0.03915683925151825,0.08675368679194607,20.4372763592,-0.125419874765,-1.845524605,[  0   0 100   0]
27,training,0.04823149,0.09023946709930897,0.08673948570745375,20.426648247,-0.162560425735,-1.84020648799,[  0   0 100   0]
28,training,0.09599337,0.42468342185020447,0.07870815990817256,20.412549503,-0.209695438906,-1.88762721803,[  0   0 100   0]
29,training,0.041466452,0.12171494588255881,0.06797561798530335,20.4001619058,-0.245368260863,-1.89855209389,[  0   0 100   0]
30,training,0,0.0288093239068985,0.058997738828801306,20.3947117311,-0.262036394998,-1.87712073581,[  0   0 100   0]
31,training,0.0114036985,0.17759578675031662,0.04812086691489902,20.3831418455,-0.299464199337,-1.86398555732,[  0   0 100   0]
32,training,0.043505993,0.23808322474360466,0.04165239027390197,20.3703452153,-0.357405238449,-1.88563815032,[  0   0 100   0]
33,training,0,0.021946966648101807,0.026148758735451343,20.3644177524,-0.375341536771,-1.89707587281,[  0   0 100   0]
34,training,0.0379347,0.10510504618287086,0.017569024442794807,20.3517984672,-0.411815688398,-1.90841499629,[  0   0 100   0]
35,training,0.041518167,0.16387270018458366,0.004466941767078632,20.3386313089,-0.449612392102,-1.90938329312,[  0   0 100   0]
36,training,0.030135226,0.234840027987957,0.0128961011924,20.3273310515,-0.479540368088,-1.96389924845,[  0   0 100   0]
37,training,0.057553668,0.30285513401031494,0.021393366028011077,20.3129628242,-0.51054614679,-2.02613677404,[  0   0 100   0]
38,training,0.061562836,0.3145301789045334,0.035369226299608265,20.2948044432,-0.546344111582,-2.05358792059,[  0   0 100   0]
39,training,0.021133365,0.36224954947829247,0.054007951125897895,20.2765457604,-0.58021590245,-2.06263812029,[  0   0 100   0]
40,training,0.043001674,0.2782958969473839,0.07115418243033515,20.2523011934,-0.610019588632,-2.06281424485,[  0   0 100   0]
41,training,0.08578127,0.25923351943492895,0.07994348002642208,20.2335232891,-0.645297963352,-2.05076154756,[  0   0 100   0]
42,training,0.045211475,0.1209146095206961,0.08826188298542828,20.2154055495,-0.67926220883,-2.058867981,[  0   0 100   0]
43,training,0.05798603,0.23002334591001272,0.09535768366297799,20.1973344715,-0.713689676886,-2.06697083759,[  0   0 100   0]
44,training,0.072967514,0.31495609879493713,0.10490656336439787,20.1782430051,-0.7486747779,-2.0788184037,[  0   0 100   0]
45,training,0.0127096055,0.321213960647583,0.10090067642033618,20.1583594813,-0.783477518633,-2.10238569803,[  0   0 100   0]
46,training,0.063049056,0.3448244482278824,0.11061012062621058,20.1382800195,-0.817435115234,-2.1298899406,[  0   0 100   0]
47,training,0.03201673,0.27189986407756805,0.11979775728173508,20.1082067997,-0.864724141774,-2.14632570621,[  0   0 100   0]
48,training,0.06295562,0.29502591863274574,0.13126713360709677,20.0977009876,-0.88078584601,-2.14998866489,[  0   0 100   0]
49,training,0.034527075,0.13173681125044823,0.14474215787217498,20.0659997024,-0.928448738264,-2.16525953526,[  0   0 100   0]
50,training,0.027154218,0.24131427705287928,0.16318591931296642,20.0554735867,-0.943859320783,-2.16767397434,[  0   0 100   0]
51,training,0.048114073,0.388970509171486,0.1751576672623995,20.0215700775,-0.991530299614,-2.11636315504,[  0   0 100   0]
52,training,0.0546182,0.2980255782604217,0.1940193733697847,20.0113890522,-1.00858198498,-2.10189624273,[  0   0 100   0]
53,training,0.026208742,0.30393388122320175,0.21174209102058267,19.9917001202,-1.04299482942,-2.08074042371,[  0   0 100   0]
54,training,0.078013435,0.4995015263557433,0.22850580671440346,19.9740131209,-1.07592778438,-2.0374753812,[  0   0 100   0]
55,training,0.070348404,0.46940078586339956,0.24358934604394422,19.9579040149,-1.11118493637,-1.95321982708,[  0   0 100   0]
56,training,0.051252753,0.569423859938979,0.253274772396698,19.9469245453,-1.1480599542,-1.71126427909,[  0   0 100   0]
57,training,0.08062475,0.6297035984462126,0.2563437062571407,19.9461807178,-1.16102799848,-1.6216764733,[  0   0 100   0]
58,training,0.06566401,0.4406880587339401,0.2599834748382827,19.9473906999,-1.19168954221,-1.45708274978,[  0   0 100   0]
59,training,0.044464394,0.08435381203889847,0.25439791274475226,19.9539134959,-1.23008531275,-1.35336960434,[  0   0 100   0]
60,training,0.04837279,0.05438683368265629,0.24498115934740292,19.9691556988,-1.28759891557,-1.28461471836,[  0   0 100   0]
61,training,0,0.04730636067688465,0.23178523966545717,19.9809196198,-1.32562243791,-1.26397491408,[  0   0 100   0]
62,training,0.027132377,0.07991741970181465,0.21911730465666562,19.9989227987,-1.38281274101,-1.26907935784,[  0   0 100   0]
63,training,0.1012574,0.1569740604609251,0.20307662763748383,20.0160247242,-1.43906866918,-1.2866642514,[  0   0 100   0]
64,training,0,0.037955041974782944,0.18580725774523596,20.0210858043,-1.45604528659,-1.27459765973,[  0   0 100   0]
65,training,0.02921455,0.1499723345041275,0.17656479310176945,20.043716802,-1.52911728387,-1.28244453756,[  0   0 100   0]
66,training,0.0625002,0.3194356709718704,0.15481594559260345,20.049369503,-1.54844948458,-1.29042110035,[  0   0 100   0]
67,training,0.07486525,0.27901044487953186,0.14627446200951896,20.0547646683,-1.56749655306,-1.30077346086,[  0   0 100   0]
68,training,0.048154563,0.1684359833598137,0.136501427042794,20.0599664731,-1.58679916717,-1.31495043679,[  0   0 100   0]
69,training,0.03188573,0.1416257880628109,0.1273546687311131,20.0648254987,-1.60567014891,-1.32550021382,[  0   0 100   0]
70,training,0.09733372,0.12827324168756607,0.11586506224850175,20.0724117508,-1.64453721964,-1.36137572308,[  0   0 100   0]
71,training,0.06470397,0.12470396980643272,0.10931223960367045,20.080338349,-1.74142246753,-1.45356564665,[  0   0 100   0]
72,training,0.021133907,0.21914515644311905,0.08733614276304148,20.0864925036,-1.801141551,-1.48247942974,[  0   0 100   0]
73,training,0,0.04344184324145317,0.06964009176988854,20.0907990988,-1.83886246078,-1.46341431928,[  0   0 100   0]
74,training,0,0.049029473215341575,0.06568999182822187,20.0926833949,-1.85713036212,-1.44696665843,[  0   0 100   0]
75,training,0.07499684,0.1451607272028923,0.0641651600055653,20.0945370355,-1.89491529786,-1.45678029257,[  0   0 100   0]
76,training,0.046425678,0.09180320426821709,0.060636046837189116,20.1010350444,-1.95495165732,-1.45375939659,[  0   0 100   0]
77,training,0.053188074,0.10414712503552437,0.060153780721624306,20.1055091683,-1.99329292621,-1.45872516915,[  0   0 100   0]
78,training,0.025844317,0.14836155995726585,0.0694277669984052,20.1099681529,-2.03301545008,-1.45914062677,[  0   0 100   0]
79,training,0.0656386,0.0830305190756917,0.06727456203791703,20.1140180515,-2.07092337001,-1.4666827616,[  0   0 100   0]
80,training,0.01421384,0.09970511682331563,0.05887354807472997,20.1181062287,-2.11023423305,-1.46650464637,[  0   0 100   0]
81,training,0.02004098,0.08609645254909994,0.04484747568210816,20.1224277058,-2.14569364164,-1.44042457061,[  0   0 100   0]
82,training,0,0.02361425757408142,0.025965103835736917,20.128605761,-2.16182534894,-1.46280844301,[  0   0 100   0]
