step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,test,0,0.0602850615978241,0.0,-5.00017099101,7.69949532625,-3.1401188318,[  0   0 100   0]
2,test,0,0.05983653664588928,0.0,-5.01348633453,7.69946984945,-3.13996153718,[  0   0 100   0]
3,test,0,0.0586393475532532,0.0,-5.05046766038,7.69909432821,-3.11647795341,[  0   0 100   0]
4,test,0,0.0676918551325798,0.0,-5.08989892409,7.6973026801,-3.07629850233,[  0   0 100   0]
5,test,0,0.10170873999595642,0.0,-5.12955423795,7.69402127565,-3.04302081124,[  0   0 100   0]
6,test,0,0.052693938836455345,0.0,-5.16904400833,7.68957815586,-3.01641953424,[  0   0 100   0]
7,test,0,0.06361146364361048,0.0,-5.20833111924,7.68420963616,-2.9972889665,[  0   0 100   0]
8,test,0,0.0621861033141613,0.0,-5.24779645452,7.67822342627,-2.98606819964,[  0   0 100   0]
9,test,0,0.06078624725341797,0.0,-5.28718893689,7.67191424551,-2.98106519646,[  0   0 100   0]
10,test,0,0.04767999425530434,0.0,-5.32665417343,7.6654905448,-2.98086730272,[  0   0 100   0]
11,test,0,0.00923988176509738,0.0,-5.36615549776,7.65915771674,-2.98467367384,[  0   0 100   0]
12,test,0,0.004368022084236145,0.0,-5.40559074292,7.65292820182,-2.98494496201,[  0   0 100   0]
13,test,0,0.007384259253740311,0.0,-5.44509807838,7.64668912781,-2.98582822028,[  0   0 100   0]
14,test,0,0.0051802117377519625,0.0,-5.4845814251,7.64053051774,-2.98745311831,[  0   0 100   0]
15,test,0,0.0013301614671945572,0.0,-5.52407561847,7.63439365255,-2.98780847891,[  0   0 100   0]
16,test,0,0.012605285272002224,0.0,-5.56361993929,7.62831268429,-2.99099205382,[  0   0 100   0]
17,test,0,0.01854639872908592,0.0,-5.60307991384,7.62236748167,-2.99302973543,[  0   0 100   0]
18,test,0,0.022516507655382156,0.0,-5.64266645133,7.61647002742,-2.99490728521,[  0   0 100   0]
19,test,0,0.030640956014394753,0.0,-5.68225420599,7.61068884982,-2.99822031851,[  0   0 100   0]
20,test,0,0.023649942129850388,0.0,-5.72175751476,7.60498912798,-2.99879843804,[  0   0 100   0]
21,test,0,0.024135981337167323,0.0,-5.76138571024,7.59935498068,-3.00301893253,[  0   0 100   0]
22,test,0,0.03983218036592007,0.0,-5.8009305256,7.59393401486,-3.00742442793,[  0   0 100   0]
23,test,0,0.03978268802165985,0.0,-5.84067724548,7.58871762319,-3.01559097738,[  0   0 100   0]
24,test,0,0.028848443180322647,0.0,-5.88047718443,7.58392942276,-3.02847886191,[  0   0 100   0]
25,test,0,0.014352491125464443,0.0,-5.920184061,7.57957460823,-3.03601556528,[  0   0 100   0]
26,test,0,0.04040343686938286,0.0,-5.96010774089,7.57549112299,-3.04400397787,[  0   0 100   0]
27,test,0,0.08769699931144714,0.0,-5.99989870521,7.57182967267,-3.05665134744,[  0   0 100   0]
28,test,0,0.071842260658741,0.0,-6.03987672738,7.56867698006,-3.06909330616,[  0   0 100   0]
29,test,0,0.07482521794736385,0.0,-6.07991862068,7.56597253825,-3.07891222987,[  0   0 100   0]
30,test,0,0.07087237946689129,0.0,-6.11970597449,7.56364368241,-3.08788682875,[  0   0 100   0]
31,test,0,0.060861006379127496,0.0,-6.15983553178,7.56165751131,-3.0964616311,[  0   0 100   0]
32,test,0,0.07943328842520714,0.0,-6.19972545682,7.55999125248,-3.10276667199,[  0   0 100   0]
