step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.092177875,0.30360808968544006,0.014955341270547644,20.3726328497,1.11056007364,-1.56423605137,[  0   0 100   0]
2,training,0.23088025,0.4797302782535553,0.017449084698919454,20.3726633757,1.10606462417,-1.56403856206,[  0   0 100   0]
3,training,0.06295776,0.1765649914741516,0.02374242021983538,20.3738048076,1.06658468571,-1.55290150095,[  0   0 100   0]
4,training,0.020926567,0.05667224526405332,0.02952735760280739,20.3740237653,1.05382578348,-1.570171237,[  0   0 100   0]
5,training,0.06500355,0.05238164123147726,0.040108199068358406,20.3735249056,1.0020711495,-1.58395714528,[  0   0 100   0]
6,training,0,0.0043218135833740234,0.05599069467259233,20.3725057768,0.964149882177,-1.60287453857,[  0   0 100   0]
7,training,0.053876147,0.1777784526348114,0.07466541174014496,20.3719920344,0.945469022712,-1.60313835778,[  0   0 100   0]
8,training,0,0.006268739700317383,0.09490708279087322,20.3728617733,0.889132678955,-1.50856239439,[  0   0 100   0]
9,training,0.022772102,0.165824294090271,0.11349998701897125,20.3767272377,0.84995787982,-1.43644243724,[  0   0 100   0]
10,training,0.03593445,0.16108539700508123,0.12187560017642887,20.3829645668,0.811291704972,-1.39735038083,[  0   0 100   0]
11,training,0.019383125,0.09785047918558118,0.1343476500569492,20.3862419342,0.793318646391,-1.39765346444,[  0   0 100   0]
12,training,0.018203516,0.08810442686080933,0.15061507236652588,20.3966834094,0.739221538562,-1.34460723797,[  0   0 100   0]
13,training,0.0034235725,0.07633137702941889,0.160436525504784,20.398065199,0.7261841346,-1.28463426141,[  0   0 100   0]
14,training,0.0035923752,0.21104387938976288,0.1685705360468326,20.4161269413,0.677737205971,-1.16307221015,[  0   0 100   0]
15,training,0.018678827,0.28228155989199877,0.16115344186794556,20.4328938663,0.642022714287,-1.09926868326,[  0   0 100   0]
16,training,0.0435057,0.08100204635411501,0.1589869234069124,20.448885324,0.612176969152,-1.08510368715,[  0   0 100   0]
17,training,0.08004633,0.42650309205055237,0.1616066402437197,20.4650264746,0.579399444117,-1.06604067074,[  0   0 100   0]
18,training,0.010168532,0.4496443569660187,0.1639296651316936,20.4734294123,0.561637429234,-1.06923469082,[  0   0 100   0]
19,training,0.029494824,0.4087541699409485,0.16660743831997948,20.4905141694,0.527867052164,-1.11743346421,[  0   0 100   0]
20,training,0.0502769,0.3165029138326645,0.16985186200778565,20.5151003148,0.473267892811,-1.17824597681,[  0   0 100   0]
